Work Item ID,Summary,Issue Type,Parent,Story Points,Exercise ID,Linked PR,Labels,Description
1,"RECONX-E22 — Day 8: Vite setup, HOCs & compound DataTable",Epic,,,,,,"Stand up the Vite + React 19 dev environment with path aliases, build withAuth and withErrorBoundary HOCs, and ship a compound <DataTable> whose sub-components share state via internal context. Groups TICKET-ADV111 through ADV114."
2,RECONX-E23 — Day 8: Custom hooks,Epic,,,,,,"Build the four custom hooks the rest of the app leans on — useWebSocket, useTradeStream, useDebouncedSearch, and useInfiniteScroll — each with correct effect cleanup and dependency handling. Groups TICKET-ADV115 through ADV118."
3,"RECONX-E24 — Day 8: Memoisation, code splitting, forms & theme",Epic,,,,,,"Optimise the dashboard with React.memo, useMemo, and useCallback, add React.lazy + Suspense route-level code splitting, build a react-hook-form + yup trade entry form, and wire a persistent light/dark ThemeProvider. Groups TICKET-ADV119 through ADV124."
4,RECONX-E25 — Day 8: RTL tests & Profiler,Epic,,,,,,"Close the day with React Testing Library coverage of the dashboard summary cards and a hands-on React DevTools Profiler session that measures and fixes unnecessary re-renders. Groups TICKET-ADV125 and ADV127."
5,TICKET-ADV111 — Vite setup with path aliases,Task,1,2,TICKET-ADV111,,frontend,"GOAL: configure the Vite project so @/components-style imports resolve everywhere, with no ../../.. relatives in the tree. DONE WHEN: npm run dev boots the Vite server on http://localhost:5173 within five seconds of a cold start. An import like import { StatCard } from '@components/StatCard' resolves at runtime and in the IDE (no red squiggles). At least five aliases are wired: @, @components, @hooks, @services, @context (plus @pages if present)."
6,TICKET-ADV112 — HOC: withAuth(Component),Task,1,2,TICKET-ADV112,,frontend,"GOAL: build a higher-order component that wraps any page and redirects unauthenticated users to /login before the wrapped component ever renders. DONE WHEN: export default withAuth(Dashboard) redirects to /login when no user is in AuthContext. The wrapped component is never visible — not even for a single frame — when logged out. React DevTools shows a useful display name (e.g. withAuth(Dashboard), not just WithAuth)."
7,TICKET-ADV113 — HOC: withErrorBoundary(Component),Task,1,2,TICKET-ADV113,,frontend,"GOAL: wrap any component in an ErrorBoundary that catches render errors and shows a recoverable fallback, exposed as an HOC so any page can opt in. DONE WHEN: throwing an error inside a wrapped component shows a fallback UI, not React's red screen. The fallback has a ""Try again"" affordance that resets the boundary's state and re-renders the children. A second error after reset is caught again (the boundary is reusable, not single-shot)."
8,"TICKET-ADV114 — Compound component: DataTable with Header, Body, Pagination",Task,1,3,TICKET-ADV114,,frontend,"GOAL: build a <DataTable> whose Header, Body, and Pagination sub-components share sort state and pagination via internal context, so callers compose them as children rather than flat props. DONE WHEN: DataTable.Header, DataTable.Body, and DataTable.Pagination work when nested inside <DataTable data>. Clicking a header cell sorts the body and toggles ascending/descending; pagination respects the current sort. Omitting <DataTable.Pagination /> still leaves a working table — sub-components are optional."
9,"TICKET-ADV115 — useWebSocket(url, options) with exponential backoff",Task,2,3,TICKET-ADV115,,frontend,"GOAL: a custom hook that opens a WebSocket connection, exposes { data, status, send }, and reconnects with exponential backoff on unexpected close. DONE WHEN: mounting a consumer opens exactly one WebSocket and unmounting closes it (Network tab agrees). A forced server-side close triggers reconnects after growing delays (1s, 2s, 4s, ...) capped by a max delay and max retry count. send is a no-op when the socket isn't OPEN, and data updates on each parsed message."
10,TICKET-ADV116 — useTradeStream() with SSE,Task,2,2,TICKET-ADV116,,frontend,"GOAL: subscribe to the Day 7 server-sent events endpoint and return { trades, isConnected }, accumulating events into a bounded local buffer. DONE WHEN: mounting a consumer opens an EventSource against /stream/trades and unmounting closes it. New trades appear at the top of the returned array within ~1 second of backend emission. The buffer never exceeds a fixed cap (~200) — oldest entries fall off as new ones arrive."
11,"TICKET-ADV117 — useDebouncedSearch(query, delay)",Task,2,2,TICKET-ADV117,,frontend,"GOAL: a hook that takes a raw query string and a delay, and returns a debounced version that only updates once typing has paused for delay ms. DONE WHEN: rapid keystrokes produce only one update to the debounced value after the user pauses. Changing the delay parameter at runtime changes the debounce window without leaking the old timer. Replacing every inline setTimeout/clearTimeout debounce with this hook produces the same behaviour."
