Work Item ID,Summary,Issue Type,Parent,Story Points,Exercise ID,Linked PR,Description
1,Day 1: Architecture & Setup,Epic,,,,,"Workshop 1A + C4 diagrams. Groups TICKET-ADV001 through ADV004."
2,Day 1: Schema & Analytics,Epic,,,,,"Workshop 1B schema work. Groups TICKET-ADV006 through ADV011."
3,Day 1: Liquibase & Tooling,Epic,,,,,"Workshop 1C Liquibase/ADR/Jira/seed. Groups TICKET-ADV012 through ADV017."
4,TICKET-ADV001 — Create GitHub repo with branch protection,Task,1,3,TICKET-ADV001,,"GOAL: Stand up private team repo with enforced branch protection. DONE WHEN: Repo private, push on own feature branches. Direct push to main rejected — only path is PR. main: 2 approvals + dismiss stale + status checks (build/test/lint). develop: 1 approval + status checks. .github/CODEOWNERS routes backend/, frontend/, db/ to leads."
5,TICKET-ADV002 — Design C4 Context diagram,Task,1,2,TICKET-ADV002,,"GOAL: C4 Level 1 Context diagram — ReconX as one box, actors, external systems. DONE WHEN: db/diagrams/c4-context.md, C4Context Mermaid block, renders clean. Exactly ONE ReconX box, no internal detail. 4 Person nodes (Trader, Recon Analyst, Ops Admin, Compliance). ~6 System_Ext (OMS, SFTP, Bloomberg, email, SSO, Grafana). Every Rel() arrow has intent + protocol (HTTPS/Kafka/OIDC/SMTP)."
6,TICKET-ADV003 — Design C4 Container diagram,Task,1,3,TICKET-ADV003,,"GOAL: C4 Level 2 Container diagram — each runtime process inside the ReconX boundary. DONE WHEN: db/diagrams/c4-container.md, C4Container block, renders clean. System_Boundary(reconxBoundary) wraps 7 containers: React SPA, API, recon engine, Postgres, Kafka, Prometheus, Grafana. Postgres=ContainerDb(), Kafka=ContainerQueue(). External actors (User, OMS, SSO) outside boundary. Every Rel() arrow has protocol + intent."
7,TICKET-ADV004 — Design C4 Component diagram (recon-service API),Task,1,3,TICKET-ADV004,,"GOAL: C4 Level 3 Component diagram for ONE container — the recon-service API. DONE WHEN: db/diagrams/c4-component.md, C4Component block, renders clean. Title names the container. 10-15 components by Spring stereotype: 4 controllers, JwtAuthFilter, MethodSecurity, 3 services, 3 repositories, 1 Kafka producer, 1 Kafka consumer. External neighbours as _Ext edge refs, not components. Flow: UI → controllers → services → repos+producer → DB/Kafka."
8,TICKET-ADV006 — Design ER model (8 entities),Task,2,3,TICKET-ADV006,,"GOAL: ER diagram covering the 8 core entities — source of truth for ADV007-011. DONE WHEN: db/erd.md, erDiagram renders clean. Exactly 8 entities: counterparties, instruments, users, trades, settlements, recon_jobs, recon_breaks, audit_log. 7 FK arrows to parent tables. trades.trade_date annotated as partition key (ADV007). instruments.metadata annotated (ADV009). audit_log.changed_by has NO DB FK."
9,TICKET-ADV007 — CREATE TABLE with monthly partitioning,Task,2,3,TICKET-ADV007,,"GOAL: trades table as RANGE-partitioned parent on trade_date. DONE WHEN: \d+ trades shows Partition key: RANGE (trade_date). 4 monthly child partitions (Apr-Jul 2026) + trades_default catch-all. EXPLAIN ANALYZE WHERE trade_date='2026-06-15' scans only June partition (pruning active). databasechangelog has row for 004-partitioning.xml."
10,TICKET-ADV008 — Materialised view: mv_daily_recon_summary,Task,2,3,TICKET-ADV008,,"GOAL: matview aggregating trades + breaks, refreshable CONCURRENTLY. DONE WHEN: \d+ mv_daily_recon_summary shows total_trades, matched_trades, open_breaks, gross_notional, match_rate_pct. Unique index on (trade_date, region, asset_class). REFRESH MATERIALIZED VIEW CONCURRENTLY succeeds. Built via Liquibase <sql> change (not <createView>), recorded as 005-mat-views.xml."
11,TICKET-ADV009 — Add JSONB column to instruments,Task,2,2,TICKET-ADV009,,"GOAL: metadata JSONB column on instruments + GIN index. DONE WHEN: \d instruments shows metadata jsonb NOT NULL DEFAULT '{}'::jsonb. \di lists idx_instruments_metadata_gin as GIN over (metadata). EXPLAIN ANALYZE on metadata @> sector:Technology shows Bitmap Index Scan, NOT Seq Scan. Changeset 003-jsonb.xml."
12,TICKET-ADV010 — Window Function: VWAP per instrument per day,Task,2,3,TICKET-ADV010,,"GOAL: return every trade row plus its VWAP (per instrument per day) via window function, no GROUP BY collapse. DONE WHEN: db/queries.sql has the VWAP block, ticket-ID labelled. vwap = SUM(price*qty)/NULLIF(SUM(qty),0) OVER (PARTITION BY instrument_id, trade_date). One row per trade, non-NULL vwap, detail preserved. EXPLAIN ANALYZE shows WindowAgg. Divide-by-zero guarded with NULLIF."
13,TICKET-ADV011 — Recursive CTE: trade lifecycle rollup,Task,2,3,TICKET-ADV011,,"GOAL: recursive CTE walking each trade through lifecycle stages. DONE WHEN: base case (EXECUTION) UNION ALL recursive step adding CONFIRMATION -> SETTLEMENT -> RECON_BREAK -> RESOLUTION. <=5 rows per trade, ordered by stage. Termination guard prevents infinite recursion (finishes in ms). Output: trade_id, stage (1..5), stage_name, event_at, event_status. EXPLAIN ANALYZE shows CTE Scan + Recursive Union. Sorted by trade_id, step."
14,TICKET-ADV012 — Liquibase master changelog,Task,3,3,TICKET-ADV012,,"GOAL: master changelog using <include> per chapter file. DONE WHEN: db.changelog-master.xml, correct XSD, zero parse errors. Each business object in own numbered chapter file under db/changelog/changes/. application.yml points spring.liquibase.change-log at classpath:db/changelog/db.changelog-master.xml (classpath: prefix required). App boots clean, DATABASECHANGELOG populated. Restart reports 0 changesets applied — idempotent."
15,TICKET-ADV013 — Add rollback tags,Task,3,2,TICKET-ADV013,,"GOAL: make every changeset reversible + mark release boundary. DONE WHEN: every <sql> changeset has matching <rollback> block. At least one <tagDatabase tag=release-1.0/> after initial schema. liquibase rollbackSQL -Dliquibase.rollbackTag=release-1.0 runs clean, emits correct reverse-DDL order. Applying rollback returns schema to pre-tag state (\d instruments no longer shows metadata)."
16,TICKET-ADV014 — Add preconditions,Task,3,2,TICKET-ADV014,,"GOAL: guard each changeset with <preConditions> for safe re-runs. DONE WHEN: every idempotent changeset uses <preConditions onFail=MARK_RAN>. Environment-gated (seed) changesets use context=dev,test + <sqlCheck>. Correct onFail mode per intent. Postgres-only DDL (partitioning, JSONB) wrapped in <dbms type=postgresql/>. Second liquibase:update run reports 0 changesets applied. Seed counts stay at 10/50/500 on repeat boot."
17,TICKET-ADV015 — Use Claude to generate ADRs,Task,3,3,TICKET-ADV015,,"GOAL: author >=3 ADRs in Nygard format + commit the prompts. DONE WHEN: docs/adr/0001-*.md, 0002-*.md, 0003-*.md exist. Five Nygard sections each (Title, Status, Context, Decision, Consequences), Status: Accepted. ReconX-specific — named scale numbers (50k trades/day, 91M-row steady state), named alternatives, named constraints. Prompt used committed alongside (docs/adr/prompts/ or file footer). docs/adr/README.md has the prompt template."
18,TICKET-ADV016 — Set up Jira / Kanban with epics,Task,3,2,TICKET-ADV016,,"GOAL: project board with epics grouping the 17 Day-1 exercises. DONE WHEN: 3 epics group the 17 exercises. 17 cards, one per ticket, each tagged Exercise ID + Estimate + Owner + Linked PR + acceptance criteria. Columns: Backlog -> To Do -> In Progress -> In Review -> Done. At least one card flowed end-to-end by the 16:45 debrief."
19,"TICKET-ADV017 — Seed data: 10 counterparties, 50 instruments, 500 trades",Task,3,3,TICKET-ADV017,,"GOAL: load deterministic seed data via Liquibase changeset. DONE WHEN: COUNT(*) counterparties=10, instruments=50 (5 explicit + 45 generated), trades=500. Trades spread ~evenly across 4 monthly partitions Apr-Jul 2026 (~125/partition). Runs FK-safe order on fresh DB, gated by precondition or context=dev,test so it never runs in prod."
